time (s),getData("/net03" ?result "tran") tp 1e-11  (V),time (s),getData("/net03" ?result "tran") tp 1.01e-09  (V),time (s),getData("/net03" ?result "tran") tp 2.01e-09  (V),time (s),getData("/net03" ?result "tran") tp 3.01e-09  (V),time (s),getData("/net03" ?result "tran") tp 4.01e-09  (V),time (s),getData("/net03" ?result "tran") tp 5.01e-09  (V),time (s),getData("/net03" ?result "tran") tp 6.01e-09  (V),time (s),getData("/net03" ?result "tran") tp 7.01e-09  (V),time (s),getData("/net03" ?result "tran") tp 8.01e-09  (V),time (s),getData("/net03" ?result "tran") tp 9.01e-09  (V),time (s),getData("/net03" ?result "tran") tp 1.001e-08  (V)
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
80.00E-12,0.000,80.00E-12,0.000,80.00E-12,0.000,80.00E-12,0.000,80.00E-12,0.000,80.00E-12,0.000,80.00E-12,0.000,80.00E-12,0.000,80.00E-12,0.000,80.00E-12,0.000,80.00E-12,0.000
240.0E-12,0.000,240.0E-12,0.000,240.0E-12,0.000,240.0E-12,0.000,240.0E-12,0.000,240.0E-12,0.000,240.0E-12,0.000,240.0E-12,0.000,240.0E-12,0.000,240.0E-12,0.000,240.0E-12,0.000
560.0E-12,0.000,560.0E-12,0.000,560.0E-12,0.000,560.0E-12,0.000,560.0E-12,0.000,560.0E-12,0.000,560.0E-12,0.000,560.0E-12,0.000,560.0E-12,0.000,560.0E-12,0.000,560.0E-12,0.000
1.200E-9,0.000,1.200E-9,0.000,1.200E-9,0.000,1.200E-9,0.000,1.200E-9,0.000,1.200E-9,0.000,1.200E-9,0.000,1.200E-9,0.000,1.200E-9,0.000,1.200E-9,0.000,1.200E-9,0.000
2.480E-9,0.000,2.480E-9,0.000,2.480E-9,0.000,2.480E-9,0.000,2.480E-9,0.000,2.480E-9,0.000,2.480E-9,0.000,2.480E-9,0.000,2.480E-9,0.000,2.480E-9,0.000,2.480E-9,0.000
3.740E-9,0.000,3.740E-9,0.000,3.740E-9,0.000,3.740E-9,0.000,3.740E-9,0.000,3.740E-9,0.000,3.740E-9,0.000,3.740E-9,0.000,3.740E-9,0.000,3.740E-9,0.000,3.740E-9,0.000
5.000E-9,0.000,5.000E-9,0.000,5.000E-9,0.000,5.000E-9,0.000,5.000E-9,0.000,5.000E-9,0.000,5.000E-9,0.000,5.000E-9,0.000,5.000E-9,0.000,5.000E-9,0.000,5.000E-9,0.000
5.006E-9,703.1E-3,5.072E-9,86.04E-3,5.102E-9,60.96E-3,5.131E-9,52.21E-3,5.151E-9,45.24E-3,5.222E-9,53.12E-3,5.243E-9,48.50E-3,5.262E-9,44.91E-3,5.280E-9,42.01E-3,5.297E-9,39.61E-3,5.313E-9,37.58E-3
5.010E-9,1.200,5.181E-9,214.8E-3,5.274E-9,163.3E-3,5.362E-9,144.5E-3,5.431E-9,129.1E-3,5.587E-9,140.7E-3,5.634E-9,126.7E-3,5.677E-9,115.9E-3,5.717E-9,107.4E-3,5.754E-9,100.4E-3,5.789E-9,94.54E-3
