time (s),getData("/net011" ?result "tran") tp 1e-11  (V),time (s),getData("/net011" ?result "tran") tp 1.01e-09  (V),time (s),getData("/net011" ?result "tran") tp 2.01e-09  (V),time (s),getData("/net011" ?result "tran") tp 3.01e-09  (V),time (s),getData("/net011" ?result "tran") tp 4.01e-09  (V),time (s),getData("/net011" ?result "tran") tp 5.01e-09  (V),time (s),getData("/net011" ?result "tran") tp 6.01e-09  (V),time (s),getData("/net011" ?result "tran") tp 7.01e-09  (V),time (s),getData("/net011" ?result "tran") tp 8.01e-09  (V),time (s),getData("/net011" ?result "tran") tp 9.01e-09  (V),time (s),getData("/net011" ?result "tran") tp 1.001e-08  (V)
0.000,1.200,0.000,1.200,0.000,1.200,0.000,1.200,0.000,1.200,0.000,1.200,0.000,1.200,0.000,1.200,0.000,1.200,0.000,1.200,0.000,1.200
80.00E-12,1.200,80.00E-12,1.200,80.00E-12,1.200,80.00E-12,1.200,80.00E-12,1.200,80.00E-12,1.200,80.00E-12,1.200,80.00E-12,1.200,80.00E-12,1.200,80.00E-12,1.200,80.00E-12,1.200
240.0E-12,1.200,240.0E-12,1.200,240.0E-12,1.200,240.0E-12,1.200,240.0E-12,1.200,240.0E-12,1.200,240.0E-12,1.200,240.0E-12,1.200,240.0E-12,1.200,240.0E-12,1.200,240.0E-12,1.200
560.0E-12,1.200,560.0E-12,1.200,560.0E-12,1.200,560.0E-12,1.200,560.0E-12,1.200,560.0E-12,1.200,560.0E-12,1.200,560.0E-12,1.200,560.0E-12,1.200,560.0E-12,1.200,560.0E-12,1.200
1.200E-9,1.200,1.200E-9,1.200,1.200E-9,1.200,1.200E-9,1.200,1.200E-9,1.200,1.200E-9,1.200,1.200E-9,1.200,1.200E-9,1.200,1.200E-9,1.200,1.200E-9,1.200,1.200E-9,1.200
2.480E-9,1.200,2.480E-9,1.200,2.480E-9,1.200,2.480E-9,1.200,2.480E-9,1.200,2.480E-9,1.200,2.480E-9,1.200,2.480E-9,1.200,2.480E-9,1.200,2.480E-9,1.200,2.480E-9,1.200
3.740E-9,1.200,3.740E-9,1.200,3.740E-9,1.200,3.740E-9,1.200,3.740E-9,1.200,3.740E-9,1.200,3.740E-9,1.200,3.740E-9,1.200,3.740E-9,1.200,3.740E-9,1.200,3.740E-9,1.200
5.000E-9,1.200,5.000E-9,1.200,5.000E-9,1.200,5.000E-9,1.200,5.000E-9,1.200,5.000E-9,1.200,5.000E-9,1.200,5.000E-9,1.200,5.000E-9,1.200,5.000E-9,1.200,5.000E-9,1.200
5.006E-9,1.174,5.072E-9,1.200,5.102E-9,1.200,5.131E-9,1.200,5.151E-9,1.200,5.222E-9,1.200,5.243E-9,1.200,5.262E-9,1.200,5.280E-9,1.200,5.297E-9,1.200,5.313E-9,1.200
5.010E-9,1.109,5.181E-9,1.189,5.274E-9,1.195,5.362E-9,1.196,5.431E-9,1.197,5.587E-9,1.196,5.634E-9,1.197,5.677E-9,1.198,5.717E-9,1.198,5.754E-9,1.198,5.789E-9,1.199
5.010E-9,1.096,5.273E-9,1.156,5.490E-9,1.164,5.616E-9,1.179,5.716E-9,1.186,5.908E-9,1.185,5.979E-9,1.189,6.045E-9,1.192,6.105E-9,1.194,6.162E-9,1.195,6.215E-9,1.196
5.011E-9,1.072,5.373E-9,1.076,5.683E-9,1.095,5.906E-9,1.126,6.111E-9,1.142,6.388E-9,1.142,6.569E-9,1.151,6.726E-9,1.159,6.820E-9,1.168,6.910E-9,1.174,6.996E-9,1.179
