time (s),getData("/I2/gnd" ?result "tran") vdd 0.3  (A),time (s),getData("/I2/gnd" ?result "tran") vdd 0.35  (A),time (s),getData("/I2/gnd" ?result "tran") vdd 0.4  (A),time (s),getData("/I2/gnd" ?result "tran") vdd 0.45  (A),time (s),getData("/I2/gnd" ?result "tran") vdd 0.5  (A),time (s),getData("/I2/gnd" ?result "tran") vdd 0.55  (A),time (s),getData("/I2/gnd" ?result "tran") vdd 0.6  (A),time (s),getData("/I2/gnd" ?result "tran") vdd 0.65  (A),time (s),getData("/I2/gnd" ?result "tran") vdd 0.7  (A),time (s),getData("/I2/gnd" ?result "tran") vdd 0.75  (A),time (s),getData("/I2/gnd" ?result "tran") vdd 0.8  (A),time (s),getData("/I2/gnd" ?result "tran") vdd 0.85  (A),time (s),getData("/I2/gnd" ?result "tran") vdd 0.9  (A),time (s),getData("/I2/gnd" ?result "tran") vdd 0.95  (A),time (s),getData("/I2/gnd" ?result "tran") vdd 1  (A),time (s),getData("/I2/gnd" ?result "tran") vdd 1.05  (A),time (s),getData("/I2/gnd" ?result "tran") vdd 1.1  (A),time (s),getData("/I2/gnd" ?result "tran") vdd 1.15  (A),time (s),getData("/I2/gnd" ?result "tran") vdd 1.2  (A)
0.000,-2.450E-9,0.000,-2.920E-9,0.000,-3.472E-9,0.000,-4.121E-9,0.000,-4.885E-9,0.000,-5.783E-9,0.000,-6.838E-9,0.000,-8.075E-9,0.000,-9.525E-9,0.000,-11.22E-9,0.000,-13.21E-9,0.000,-15.53E-9,0.000,-18.23E-9,0.000,-21.39E-9,0.000,-25.06E-9,0.000,-29.33E-9,0.000,-34.28E-9,0.000,-40.03E-9,0.000,-46.68E-9
80.00E-12,-2.450E-9,80.00E-12,-2.920E-9,80.00E-12,-3.472E-9,80.00E-12,-4.121E-9,80.00E-12,-4.885E-9,80.00E-12,-5.783E-9,80.00E-12,-6.838E-9,80.00E-12,-8.075E-9,80.00E-12,-9.525E-9,80.00E-12,-11.22E-9,80.00E-12,-13.21E-9,80.00E-12,-15.53E-9,80.00E-12,-18.23E-9,80.00E-12,-21.39E-9,80.00E-12,-25.06E-9,80.00E-12,-29.33E-9,80.00E-12,-34.28E-9,80.00E-12,-40.03E-9,80.00E-12,-46.68E-9
240.0E-12,-2.450E-9,240.0E-12,-2.920E-9,240.0E-12,-3.472E-9,240.0E-12,-4.121E-9,240.0E-12,-4.885E-9,240.0E-12,-5.783E-9,240.0E-12,-6.838E-9,240.0E-12,-8.075E-9,240.0E-12,-9.525E-9,240.0E-12,-11.22E-9,240.0E-12,-13.21E-9,240.0E-12,-15.53E-9,240.0E-12,-18.23E-9,240.0E-12,-21.39E-9,240.0E-12,-25.06E-9,240.0E-12,-29.33E-9,240.0E-12,-34.28E-9,240.0E-12,-40.03E-9,240.0E-12,-46.68E-9
560.0E-12,-2.450E-9,560.0E-12,-2.920E-9,560.0E-12,-3.472E-9,560.0E-12,-4.121E-9,560.0E-12,-4.885E-9,560.0E-12,-5.783E-9,560.0E-12,-6.838E-9,560.0E-12,-8.075E-9,560.0E-12,-9.525E-9,560.0E-12,-11.22E-9,560.0E-12,-13.21E-9,560.0E-12,-15.53E-9,560.0E-12,-18.23E-9,560.0E-12,-21.39E-9,560.0E-12,-25.06E-9,560.0E-12,-29.33E-9,560.0E-12,-34.28E-9,560.0E-12,-40.03E-9,560.0E-12,-46.68E-9
1.200E-9,-2.450E-9,1.200E-9,-2.920E-9,1.200E-9,-3.472E-9,1.200E-9,-4.121E-9,1.200E-9,-4.885E-9,1.200E-9,-5.783E-9,1.200E-9,-6.838E-9,1.200E-9,-8.075E-9,1.200E-9,-9.525E-9,1.200E-9,-11.22E-9,1.200E-9,-13.21E-9,1.200E-9,-15.53E-9,1.200E-9,-18.23E-9,1.200E-9,-21.39E-9,1.200E-9,-25.06E-9,1.200E-9,-29.33E-9,1.200E-9,-34.28E-9,1.200E-9,-40.03E-9,1.200E-9,-46.68E-9
2.480E-9,-2.450E-9,2.480E-9,-2.920E-9,2.480E-9,-3.472E-9,2.480E-9,-4.121E-9,2.480E-9,-4.885E-9,2.480E-9,-5.783E-9,2.480E-9,-6.838E-9,2.480E-9,-8.075E-9,2.480E-9,-9.525E-9,2.480E-9,-11.22E-9,2.480E-9,-13.21E-9,2.480E-9,-15.53E-9,2.480E-9,-18.23E-9,2.480E-9,-21.39E-9,2.480E-9,-25.06E-9,2.480E-9,-29.33E-9,2.480E-9,-34.28E-9,2.480E-9,-40.03E-9,2.480E-9,-46.68E-9
3.740E-9,-2.450E-9,3.740E-9,-2.920E-9,3.740E-9,-3.472E-9,3.740E-9,-4.121E-9,3.740E-9,-4.885E-9,3.740E-9,-5.783E-9,3.740E-9,-6.838E-9,3.740E-9,-8.075E-9,3.740E-9,-9.525E-9,3.740E-9,-11.22E-9,3.740E-9,-13.21E-9,3.740E-9,-15.53E-9,3.740E-9,-18.23E-9,3.740E-9,-21.39E-9,3.740E-9,-25.06E-9,3.740E-9,-29.33E-9,3.740E-9,-34.28E-9,3.740E-9,-40.03E-9,3.740E-9,-46.68E-9
5.000E-9,-2.450E-9,5.000E-9,-2.920E-9,5.000E-9,-3.472E-9,5.000E-9,-4.121E-9,5.000E-9,-4.885E-9,5.000E-9,-5.783E-9,5.000E-9,-6.838E-9,5.000E-9,-8.075E-9,5.000E-9,-9.525E-9,5.000E-9,-11.22E-9,5.000E-9,-13.21E-9,5.000E-9,-15.53E-9,5.000E-9,-18.23E-9,5.000E-9,-21.39E-9,5.000E-9,-25.06E-9,5.000E-9,-29.33E-9,5.000E-9,-34.28E-9,5.000E-9,-40.03E-9,5.000E-9,-46.68E-9
5.012E-9,-913.8E-9,5.012E-9,-1.133E-6,5.012E-9,-1.398E-6,5.012E-9,-1.728E-6,5.012E-9,-2.155E-6,5.012E-9,-2.722E-6,5.012E-9,-3.477E-6,5.012E-9,-4.463E-6,5.012E-9,-5.710E-6,5.012E-9,-7.225E-6,5.012E-9,-8.995E-6,5.012E-9,-11.00E-6,5.012E-9,-13.20E-6,5.012E-9,-15.56E-6,5.012E-9,-18.07E-6,5.012E-9,-20.70E-6,5.012E-9,-23.42E-6,5.012E-9,-26.24E-6,5.012E-9,-29.13E-6
5.021E-9,-1.759E-6,5.021E-9,-2.754E-6,5.021E-9,-4.304E-6,5.021E-9,-6.518E-6,5.021E-9,-9.361E-6,5.021E-9,-12.70E-6,5.021E-9,-16.41E-6,5.021E-9,-20.36E-6,5.021E-9,-24.50E-6,5.021E-9,-28.79E-6,5.021E-9,-33.19E-6,5.014E-9,-18.22E-6,5.021E-9,-42.29E-6,5.021E-9,-46.96E-6,5.021E-9,-51.72E-6,5.021E-9,-56.54E-6,5.021E-9,-61.43E-6,5.021E-9,-66.37E-6,5.021E-9,-71.36E-6
