time (s),getData("/I2/gnd" ?result "tran") tp 1e-11  (A),time (s),getData("/I2/gnd" ?result "tran") tp 1.01e-09  (A),time (s),getData("/I2/gnd" ?result "tran") tp 2.01e-09  (A),time (s),getData("/I2/gnd" ?result "tran") tp 3.01e-09  (A),time (s),getData("/I2/gnd" ?result "tran") tp 4.01e-09  (A),time (s),getData("/I2/gnd" ?result "tran") tp 5.01e-09  (A),time (s),getData("/I2/gnd" ?result "tran") tp 6.01e-09  (A),time (s),getData("/I2/gnd" ?result "tran") tp 7.01e-09  (A),time (s),getData("/I2/gnd" ?result "tran") tp 8.01e-09  (A),time (s),getData("/I2/gnd" ?result "tran") tp 9.01e-09  (A),time (s),getData("/I2/gnd" ?result "tran") tp 1.001e-08  (A)
0.000,-46.68E-9,75.98E-9,339.7E-9,0.000,-46.68E-9,0.000,-46.68E-9,0.000,-46.68E-9,0.000,-46.68E-9,0.000,-46.68E-9,0.000,-46.68E-9,0.000,-46.68E-9,0.000,-46.68E-9,0.000,-46.68E-9
80.00E-12,-46.68E-9,15.97E-9,339.5E-9,80.00E-12,-46.68E-9,80.00E-12,-46.68E-9,80.00E-12,-46.68E-9,80.00E-12,-46.68E-9,80.00E-12,-46.68E-9,80.00E-12,-46.68E-9,80.00E-12,-46.68E-9,80.00E-12,-46.68E-9,80.00E-12,-46.68E-9
240.0E-12,-46.68E-9,55.97E-9,339.4E-9,240.0E-12,-46.68E-9,240.0E-12,-46.68E-9,240.0E-12,-46.68E-9,240.0E-12,-46.68E-9,240.0E-12,-46.68E-9,240.0E-12,-46.68E-9,240.0E-12,-46.68E-9,240.0E-12,-46.68E-9,240.0E-12,-46.68E-9
560.0E-12,-46.68E-9,35.99E-9,338.3E-9,560.0E-12,-46.68E-9,560.0E-12,-46.68E-9,560.0E-12,-46.68E-9,560.0E-12,-46.68E-9,560.0E-12,-46.68E-9,560.0E-12,-46.68E-9,560.0E-12,-46.68E-9,560.0E-12,-46.68E-9,560.0E-12,-46.68E-9
1.200E-9,-46.68E-9,56.07E-9,149.4E-9,1.200E-9,-46.68E-9,1.200E-9,-46.68E-9,1.200E-9,-46.68E-9,1.200E-9,-46.68E-9,1.200E-9,-46.68E-9,1.200E-9,-46.68E-9,1.200E-9,-46.68E-9,1.200E-9,-46.68E-9,1.200E-9,-46.68E-9
2.480E-9,-46.68E-9,16.07E-9,140.4E-9,2.480E-9,-46.68E-9,2.480E-9,-46.68E-9,2.480E-9,-46.68E-9,2.480E-9,-46.68E-9,2.480E-9,-46.68E-9,2.480E-9,-46.68E-9,2.480E-9,-46.68E-9,2.480E-9,-46.68E-9,2.480E-9,-46.68E-9
3.740E-9,-46.68E-9,76.08E-9,109.0E-9,3.740E-9,-46.68E-9,3.740E-9,-46.68E-9,3.740E-9,-46.68E-9,3.740E-9,-46.68E-9,3.740E-9,-46.68E-9,3.740E-9,-46.68E-9,3.740E-9,-46.68E-9,3.740E-9,-46.68E-9,3.740E-9,-46.68E-9
5.000E-9,-46.68E-9,36.92E-9,65.14E-9,5.000E-9,-46.68E-9,5.000E-9,-46.68E-9,5.000E-9,-46.68E-9,5.000E-9,-46.68E-9,5.000E-9,-46.68E-9,5.000E-9,-46.68E-9,5.000E-9,-46.68E-9,5.000E-9,-46.68E-9,5.000E-9,-46.68E-9
5.006E-9,-67.21E-6,76.92E-9,56.96E-9,5.102E-9,-250.6E-9,5.131E-9,-196.2E-9,5.151E-9,-163.1E-9,5.222E-9,-184.2E-9,5.243E-9,-164.2E-9,5.262E-9,-149.9E-9,5.280E-9,-139.3E-9,5.297E-9,-130.9E-9,5.313E-9,-124.2E-9
5.010E-9,-122.7E-6,16.92E-9,47.39E-9,5.274E-9,-1.629E-6,5.362E-9,-1.153E-6,5.431E-9,-856.2E-9,5.587E-9,-1.055E-6,5.634E-9,-804.5E-9,5.677E-9,-649.0E-9,5.717E-9,-544.7E-9,5.754E-9,-470.8E-9,5.789E-9,-415.9E-9
5.010E-9,-102.6E-6,56.92E-9,45.42E-9,5.490E-9,-8.233E-6,5.616E-9,-5.129E-6,5.716E-9,-3.455E-6,5.908E-9,-3.602E-6,5.979E-9,-2.636E-6,6.045E-9,-2.029E-6,6.105E-9,-1.624E-6,6.162E-9,-1.342E-6,6.215E-9,-1.137E-6
5.011E-9,-101.8E-6,26.07E-9,11.03E-9,5.683E-9,-17.57E-6,5.906E-9,-13.60E-6,6.111E-9,-11.24E-6,6.388E-9,-11.20E-6,6.569E-9,-9.713E-6,6.726E-9,-8.380E-6,6.820E-9,-6.791E-6,6.910E-9,-5.615E-6,6.996E-9,-4.725E-6
5.012E-9,-101.2E-6,46.06E-9,9.358E-9,5.795E-9,-23.05E-6,6.198E-9,-23.10E-6,6.488E-9,-20.53E-6,6.859E-9,-20.49E-6,7.121E-9,-18.69E-6,7.360E-9,-17.07E-6,7.538E-9,-15.08E-6,7.714E-9,-13.52E-6,7.889E-9,-12.29E-6
5.014E-9,-99.72E-6,6.054E-9,8.016E-9,5.867E-9,-26.13E-6,6.308E-9,-25.96E-6,6.638E-9,-23.91E-6,7.038E-9,-23.70E-6,7.352E-9,-22.35E-6,7.667E-9,-21.33E-6,7.981E-9,-20.53E-6,8.319E-9,-20.17E-6,8.852E-9,-21.68E-6
5.017E-9,-96.96E-6,66.05E-9,5.452E-9,5.956E-9,-28.56E-6,6.444E-9,-27.69E-6,6.751E-9,-25.82E-6,7.174E-9,-25.49E-6,7.518E-9,-24.52E-6,7.868E-9,-23.78E-6,8.225E-9,-23.24E-6,8.603E-9,-23.00E-6,9.159E-9,-24.11E-6
5.024E-9,-90.61E-6,55.00E-9,-645.0E-12,6.023E-9,-29.16E-6,6.540E-9,-27.47E-6,6.878E-9,-26.88E-6,7.326E-9,-26.43E-6,7.725E-9,-26.00E-6,8.038E-9,-25.23E-6,8.421E-9,-24.87E-6,8.823E-9,-24.67E-6,9.405E-9,-25.22E-6
5.037E-9,-69.88E-6,52.48E-9,-667.2E-12,6.064E-9,-28.85E-6,6.600E-9,-26.41E-6,6.999E-9,-26.77E-6,7.472E-9,-26.25E-6,7.880E-9,-26.07E-6,8.216E-9,-25.86E-6,8.640E-9,-25.66E-6,9.078E-9,-25.52E-6,9.659E-9,-25.40E-6
5.047E-9,-44.16E-6,49.28E-9,-684.5E-12,6.130E-9,-25.87E-6,6.676E-9,-22.47E-6,7.090E-9,-25.79E-6,7.622E-9,-24.70E-6,7.976E-9,-25.73E-6,8.413E-9,-25.64E-6,8.838E-9,-25.55E-6,9.294E-9,-25.40E-6,9.808E-9,-25.17E-6
5.056E-9,-25.49E-6,26.15E-9,-691.1E-12,6.176E-9,-20.08E-6,6.732E-9,-18.65E-6,7.184E-9,-22.71E-6,7.730E-9,-21.49E-6,8.111E-9,-24.53E-6,8.587E-9,-24.55E-6,9.052E-9,-24.61E-6,9.537E-9,-24.50E-6,10.01E-9,-24.44E-6
5.069E-9,-8.125E-6,14.97E-9,-703.5E-12,6.217E-9,-16.00E-6,6.792E-9,-15.93E-6,7.259E-9,-19.31E-6,7.822E-9,-18.73E-6,8.231E-9,-21.94E-6,8.733E-9,-22.27E-6,9.214E-9,-22.77E-6,9.717E-9,-22.81E-6,10.21E-9,-22.93E-6
5.079E-9,-4.434E-6,46.86E-9,-711.5E-12,6.266E-9,-12.80E-6,6.863E-9,-13.30E-6,7.334E-9,-16.94E-6,7.925E-9,-16.52E-6,8.336E-9,-19.48E-6,8.860E-9,-19.75E-6,9.365E-9,-20.25E-6,9.888E-9,-20.41E-6,10.39E-9,-20.71E-6
5.088E-9,-972.4E-9,12.44E-9,-721.0E-12,6.306E-9,-10.81E-6,6.920E-9,-11.52E-6,7.429E-9,-14.38E-6,8.013E-9,-14.65E-6,8.458E-9,-17.22E-6,8.993E-9,-17.75E-6,9.507E-9,-18.38E-6,10.05E-9,-18.57E-6,10.57E-9,-18.85E-6
5.098E-9,-1.247E-6,9.239E-9,-734.8E-12,6.353E-9,-8.625E-6,7.002E-9,-8.872E-6,7.502E-9,-12.63E-6,8.114E-9,-12.66E-6,8.567E-9,-15.36E-6,9.125E-9,-15.75E-6,9.675E-9,-16.15E-6,10.24E-9,-16.34E-6,10.80E-9,-16.47E-6
5.112E-9,478.6E-9,6.834E-9,-756.9E-12,6.420E-9,-5.948E-6,7.161E-9,-4.938E-6,7.612E-9,-9.937E-6,8.300E-9,-9.212E-6,8.683E-9,-13.39E-6,9.254E-9,-13.93E-6,9.817E-9,-14.44E-6,10.40E-9,-14.63E-6,10.98E-9,-14.75E-6
5.130E-9,-647.4E-9,74.91E-9,-771.2E-12,6.544E-9,-2.313E-6,7.341E-9,-1.727E-6,7.823E-9,-5.744E-6,8.534E-9,-5.532E-6,8.881E-9,-10.30E-6,9.489E-9,-10.69E-6,10.05E-9,-11.56E-6,10.66E-9,-11.75E-6,11.26E-9,-12.01E-6
5.157E-9,631.7E-9,72.30E-9,-782.4E-12,6.698E-9,-501.9E-9,7.597E-9,-345.2E-9,8.045E-9,-2.411E-6,8.841E-9,-2.088E-6,9.151E-9,-6.525E-6,9.783E-9,-7.162E-6,10.41E-9,-7.709E-6,11.05E-9,-7.984E-6,11.70E-9,-8.108E-6
5.198E-9,-632.3E-9,69.10E-9,-791.8E-12,6.854E-9,-201.8E-9,7.804E-9,-83.18E-9,8.363E-9,-479.4E-9,9.237E-9,-349.4E-9,9.490E-9,-2.965E-6,10.17E-9,-3.406E-6,10.80E-9,-4.109E-6,11.49E-9,-4.371E-6,12.17E-9,-4.630E-6
5.276E-9,629.9E-9,66.80E-9,-807.4E-12,7.010E-9,-206.8E-9,8.010E-9,-192.1E-9,8.741E-9,-56.99E-9,9.624E-9,-87.81E-9,9.936E-9,-589.5E-9,10.66E-9,-848.6E-9,11.36E-9,-1.192E-6,12.10E-9,-1.330E-6,12.85E-9,-1.412E-6
5.431E-9,-632.0E-9,46.24E-9,-843.2E-12,7.061E-9,-22.05E-9,8.086E-9,-9.741E-9,9.010E-9,-150.4E-9,10.01E-9,-85.98E-9,10.50E-9,-97.22E-9,11.32E-9,-65.22E-9,12.06E-9,-73.14E-9,12.88E-9,-94.45E-9,13.71E-9,-120.9E-9
5.741E-9,629.8E-9,6.230E-9,-865.6E-12,7.133E-9,9.724E-9,8.186E-9,4.328E-9,9.110E-9,-6.604E-9,10.14E-9,-4.460E-9,11.01E-9,-55.33E-9,11.66E-9,-88.93E-9,12.54E-9,-110.2E-9,13.45E-9,-100.4E-9,14.36E-9,-85.60E-9
6.362E-9,-632.0E-9,66.22E-9,-885.3E-12,7.198E-9,-6.326E-9,8.278E-9,-4.386E-9,9.248E-9,2.841E-9,10.32E-9,1.485E-9,11.16E-9,-3.686E-9,12.01E-9,-28.81E-9,13.01E-9,4.016E-9,14.01E-9,3.909E-9,15.01E-9,-3.355E-9
7.603E-9,629.7E-9,35.91E-9,-897.2E-12,7.328E-9,2.530E-9,8.462E-9,1.444E-9,9.370E-9,-3.815E-9,10.48E-9,-3.066E-9,11.39E-9,1.003E-9,12.12E-9,-3.978E-9,13.15E-9,-3.206E-9,14.17E-9,-2.723E-9,15.19E-9,-2.316E-9
9.203E-9,-631.9E-9,32.72E-9,-924.5E-12,7.590E-9,-4.121E-9,8.830E-9,-3.353E-9,9.613E-9,1.137E-9,10.80E-9,595.3E-12,11.60E-9,-2.797E-9,12.30E-9,1.129E-9,13.38E-9,618.8E-12,14.44E-9,258.9E-12,15.50E-9,-64.58E-12
